Fold 1
Train loss: 0.6851, Validation loss: 0.6736, Validation acc: 0.7805
Train loss: 0.6522, Validation loss: 0.6206, Validation acc: 0.7975
Train loss: 0.5762, Validation loss: 0.5234, Validation acc: 0.8083
Train loss: 0.4802, Validation loss: 0.4331, Validation acc: 0.8240
Train loss: 0.4085, Validation loss: 0.3751, Validation acc: 0.8529
Train loss: 0.3617, Validation loss: 0.3348, Validation acc: 0.8712
Train loss: 0.3299, Validation loss: 0.3086, Validation acc: 0.8860
Train loss: 0.3075, Validation loss: 0.2893, Validation acc: 0.8912
Train loss: 0.2913, Validation loss: 0.2807, Validation acc: 0.8985
Train loss: 0.2788, Validation loss: 0.2658, Validation acc: 0.9012
Train loss: 0.2691, Validation loss: 0.2578, Validation acc: 0.9030
Train loss: 0.2613, Validation loss: 0.2582, Validation acc: 0.9061
Train loss: 0.2551, Validation loss: 0.2466, Validation acc: 0.9071
Train loss: 0.2499, Validation loss: 0.2437, Validation acc: 0.9102
Train loss: 0.2452, Validation loss: 0.2391, Validation acc: 0.9113
Train loss: 0.2411, Validation loss: 0.2356, Validation acc: 0.9116
Train loss: 0.2375, Validation loss: 0.2325, Validation acc: 0.9144
Train loss: 0.2351, Validation loss: 0.2299, Validation acc: 0.9146
Train loss: 0.2316, Validation loss: 0.2300, Validation acc: 0.9161
Train loss: 0.2285, Validation loss: 0.2258, Validation acc: 0.9165
Train loss: 0.2260, Validation loss: 0.2234, Validation acc: 0.9174
Train loss: 0.2236, Validation loss: 0.2216, Validation acc: 0.9187
Train loss: 0.2223, Validation loss: 0.2214, Validation acc: 0.9195
Train loss: 0.2195, Validation loss: 0.2238, Validation acc: 0.9203
Train loss: 0.2177, Validation loss: 0.2167, Validation acc: 0.9208
Train loss: 0.2159, Validation loss: 0.2176, Validation acc: 0.9212
Train loss: 0.2148, Validation loss: 0.2161, Validation acc: 0.9220
Train loss: 0.2124, Validation loss: 0.2126, Validation acc: 0.9220
Train loss: 0.2111, Validation loss: 0.2126, Validation acc: 0.9226
Train loss: 0.2097, Validation loss: 0.2103, Validation acc: 0.9225
Train loss: 0.2081, Validation loss: 0.2106, Validation acc: 0.9225
Train loss: 0.2066, Validation loss: 0.2081, Validation acc: 0.9223
Train loss: 0.2057, Validation loss: 0.2074, Validation acc: 0.9226
Train loss: 0.2043, Validation loss: 0.2065, Validation acc: 0.9229
Train loss: 0.2030, Validation loss: 0.2060, Validation acc: 0.9249
Train loss: 0.2019, Validation loss: 0.2057, Validation acc: 0.9247
Train loss: 0.2008, Validation loss: 0.2041, Validation acc: 0.9253
Train loss: 0.2001, Validation loss: 0.2034, Validation acc: 0.9232
Train loss: 0.1987, Validation loss: 0.2026, Validation acc: 0.9244
Train loss: 0.1982, Validation loss: 0.2028, Validation acc: 0.9243
Train loss: 0.1967, Validation loss: 0.2010, Validation acc: 0.9243
Train loss: 0.1966, Validation loss: 0.2004, Validation acc: 0.9258
Train loss: 0.1950, Validation loss: 0.2017, Validation acc: 0.9257
Train loss: 0.1942, Validation loss: 0.2028, Validation acc: 0.9258
Train loss: 0.1933, Validation loss: 0.1989, Validation acc: 0.9261
Train loss: 0.1926, Validation loss: 0.1981, Validation acc: 0.9263
Train loss: 0.1918, Validation loss: 0.1986, Validation acc: 0.9264
Train loss: 0.1911, Validation loss: 0.1982, Validation acc: 0.9267
Train loss: 0.1902, Validation loss: 0.1974, Validation acc: 0.9268
Train loss: 0.1897, Validation loss: 0.1971, Validation acc: 0.9282
Train loss: 0.1898, Validation loss: 0.1960, Validation acc: 0.9279
Train loss: 0.1881, Validation loss: 0.1962, Validation acc: 0.9267
Train loss: 0.1875, Validation loss: 0.1952, Validation acc: 0.9288
Train loss: 0.1873, Validation loss: 0.1955, Validation acc: 0.9287
Train loss: 0.1862, Validation loss: 0.1964, Validation acc: 0.9275
Train loss: 0.1856, Validation loss: 0.1939, Validation acc: 0.9301
Train loss: 0.1850, Validation loss: 0.1939, Validation acc: 0.9288
Train loss: 0.1843, Validation loss: 0.1955, Validation acc: 0.9302
Train loss: 0.1845, Validation loss: 0.1928, Validation acc: 0.9309
Train loss: 0.1833, Validation loss: 0.1919, Validation acc: 0.9313
Train loss: 0.1826, Validation loss: 0.1919, Validation acc: 0.9298
Train loss: 0.1822, Validation loss: 0.1911, Validation acc: 0.9305
Train loss: 0.1816, Validation loss: 0.1926, Validation acc: 0.9306
Train loss: 0.1810, Validation loss: 0.1910, Validation acc: 0.9317
Train loss: 0.1805, Validation loss: 0.1907, Validation acc: 0.9320
Train loss: 0.1799, Validation loss: 0.1901, Validation acc: 0.9325
Train loss: 0.1793, Validation loss: 0.1897, Validation acc: 0.9320
Train loss: 0.1789, Validation loss: 0.1906, Validation acc: 0.9319
Train loss: 0.1782, Validation loss: 0.1896, Validation acc: 0.9316
Train loss: 0.1780, Validation loss: 0.1968, Validation acc: 0.9333
Train loss: 0.1776, Validation loss: 0.1926, Validation acc: 0.9332
Train loss: 0.1772, Validation loss: 0.1879, Validation acc: 0.9325
Train loss: 0.1766, Validation loss: 0.1880, Validation acc: 0.9329
Train loss: 0.1760, Validation loss: 0.1885, Validation acc: 0.9325
Train loss: 0.1756, Validation loss: 0.1879, Validation acc: 0.9323
Train loss: 0.1753, Validation loss: 0.1873, Validation acc: 0.9330
Train loss: 0.1747, Validation loss: 0.1878, Validation acc: 0.9336
Train loss: 0.1742, Validation loss: 0.1865, Validation acc: 0.9330
Train loss: 0.1740, Validation loss: 0.1871, Validation acc: 0.9334
Train loss: 0.1739, Validation loss: 0.1874, Validation acc: 0.9325
Train loss: 0.1733, Validation loss: 0.1860, Validation acc: 0.9336
Train loss: 0.1728, Validation loss: 0.1864, Validation acc: 0.9329
Train loss: 0.1721, Validation loss: 0.1853, Validation acc: 0.9334
Train loss: 0.1718, Validation loss: 0.1853, Validation acc: 0.9327
Train loss: 0.1714, Validation loss: 0.1849, Validation acc: 0.9341
Train loss: 0.1712, Validation loss: 0.1844, Validation acc: 0.9327
Train loss: 0.1717, Validation loss: 0.1885, Validation acc: 0.9325
Train loss: 0.1702, Validation loss: 0.1841, Validation acc: 0.9339
Train loss: 0.1697, Validation loss: 0.1935, Validation acc: 0.9332
Train loss: 0.1698, Validation loss: 0.1836, Validation acc: 0.9329
Train loss: 0.1691, Validation loss: 0.1835, Validation acc: 0.9337
Train loss: 0.1687, Validation loss: 0.1837, Validation acc: 0.9332
Train loss: 0.1683, Validation loss: 0.1831, Validation acc: 0.9332
Train loss: 0.1680, Validation loss: 0.1875, Validation acc: 0.9341
Train loss: 0.1675, Validation loss: 0.1826, Validation acc: 0.9336
Train loss: 0.1673, Validation loss: 0.1856, Validation acc: 0.9346
Train loss: 0.1669, Validation loss: 0.1844, Validation acc: 0.9337
Train loss: 0.1666, Validation loss: 0.1824, Validation acc: 0.9347
Train loss: 0.1662, Validation loss: 0.1818, Validation acc: 0.9337
Train loss: 0.1658, Validation loss: 0.1815, Validation acc: 0.9339
Fold 2
Train loss: 0.6840, Validation loss: 0.6718, Validation acc: 0.7962
