Fold 1
Train loss: 0.6913, Validation loss: 0.6886, Validation acc: 0.7860
Train loss: 0.6834, Validation loss: 0.6750, Validation acc: 0.7640
Train loss: 0.6523, Validation loss: 0.6119, Validation acc: 0.8026
Train loss: 0.5292, Validation loss: 0.4342, Validation acc: 0.8283
Train loss: 0.3743, Validation loss: 0.3218, Validation acc: 0.8741
Train loss: 0.2990, Validation loss: 0.2748, Validation acc: 0.8980
Train loss: 0.2650, Validation loss: 0.2516, Validation acc: 0.9075
Train loss: 0.2468, Validation loss: 0.2364, Validation acc: 0.9129
Train loss: 0.2359, Validation loss: 0.2299, Validation acc: 0.9165
Train loss: 0.2266, Validation loss: 0.2220, Validation acc: 0.9195
Train loss: 0.2198, Validation loss: 0.2163, Validation acc: 0.9233
Train loss: 0.2142, Validation loss: 0.2117, Validation acc: 0.9249
Train loss: 0.2094, Validation loss: 0.2064, Validation acc: 0.9271
Train loss: 0.2061, Validation loss: 0.2031, Validation acc: 0.9271
Train loss: 0.2014, Validation loss: 0.1999, Validation acc: 0.9302
Train loss: 0.1982, Validation loss: 0.1974, Validation acc: 0.9296
Train loss: 0.1954, Validation loss: 0.1952, Validation acc: 0.9308
Train loss: 0.1929, Validation loss: 0.1938, Validation acc: 0.9323
Train loss: 0.1904, Validation loss: 0.1911, Validation acc: 0.9330
Train loss: 0.1883, Validation loss: 0.1906, Validation acc: 0.9339
Train loss: 0.1860, Validation loss: 0.1870, Validation acc: 0.9353
Train loss: 0.1839, Validation loss: 0.1890, Validation acc: 0.9357
Train loss: 0.1819, Validation loss: 0.1840, Validation acc: 0.9374
Train loss: 0.1804, Validation loss: 0.1837, Validation acc: 0.9375
Train loss: 0.1787, Validation loss: 0.1873, Validation acc: 0.9364
Train loss: 0.1770, Validation loss: 0.1898, Validation acc: 0.9346
Train loss: 0.1752, Validation loss: 0.1811, Validation acc: 0.9377
Train loss: 0.1736, Validation loss: 0.1782, Validation acc: 0.9398
Train loss: 0.1722, Validation loss: 0.1828, Validation acc: 0.9357
Train loss: 0.1706, Validation loss: 0.1764, Validation acc: 0.9409
Train loss: 0.1696, Validation loss: 0.1883, Validation acc: 0.9346
Train loss: 0.1677, Validation loss: 0.1756, Validation acc: 0.9409
Train loss: 0.1664, Validation loss: 0.1745, Validation acc: 0.9410
Train loss: 0.1657, Validation loss: 0.1799, Validation acc: 0.9384
Train loss: 0.1634, Validation loss: 0.1749, Validation acc: 0.9385
Train loss: 0.1622, Validation loss: 0.1730, Validation acc: 0.9417
Train loss: 0.1608, Validation loss: 0.1714, Validation acc: 0.9429
Train loss: 0.1595, Validation loss: 0.1740, Validation acc: 0.9384
Train loss: 0.1577, Validation loss: 0.1700, Validation acc: 0.9431
Train loss: 0.1567, Validation loss: 0.1702, Validation acc: 0.9423
Train loss: 0.1551, Validation loss: 0.1686, Validation acc: 0.9420
Train loss: 0.1539, Validation loss: 0.1674, Validation acc: 0.9417
Train loss: 0.1525, Validation loss: 0.1671, Validation acc: 0.9427
Train loss: 0.1513, Validation loss: 0.1662, Validation acc: 0.9436
Train loss: 0.1495, Validation loss: 0.1651, Validation acc: 0.9437
Train loss: 0.1484, Validation loss: 0.1692, Validation acc: 0.9416
Train loss: 0.1470, Validation loss: 0.1636, Validation acc: 0.9446
Train loss: 0.1459, Validation loss: 0.1670, Validation acc: 0.9419
Train loss: 0.1447, Validation loss: 0.1653, Validation acc: 0.9433
Train loss: 0.1433, Validation loss: 0.1625, Validation acc: 0.9446
Train loss: 0.1421, Validation loss: 0.1612, Validation acc: 0.9450
Train loss: 0.1407, Validation loss: 0.1690, Validation acc: 0.9450
Train loss: 0.1407, Validation loss: 0.1667, Validation acc: 0.9447
Train loss: 0.1379, Validation loss: 0.1603, Validation acc: 0.9458
Train loss: 0.1368, Validation loss: 0.1585, Validation acc: 0.9460
Train loss: 0.1350, Validation loss: 0.1599, Validation acc: 0.9450
Train loss: 0.1338, Validation loss: 0.1576, Validation acc: 0.9462
Train loss: 0.1324, Validation loss: 0.1571, Validation acc: 0.9472
Train loss: 0.1322, Validation loss: 0.2050, Validation acc: 0.9270
Train loss: 0.1305, Validation loss: 0.1559, Validation acc: 0.9469
Train loss: 0.1287, Validation loss: 0.1594, Validation acc: 0.9469
Train loss: 0.1275, Validation loss: 0.1964, Validation acc: 0.9346
Train loss: 0.1262, Validation loss: 0.1540, Validation acc: 0.9479
Train loss: 0.1248, Validation loss: 0.1554, Validation acc: 0.9467
Train loss: 0.1234, Validation loss: 0.1535, Validation acc: 0.9481
Train loss: 0.1216, Validation loss: 0.1580, Validation acc: 0.9468
Train loss: 0.1206, Validation loss: 0.1531, Validation acc: 0.9475
Train loss: 0.1191, Validation loss: 0.1516, Validation acc: 0.9484
