Fold 1
Train loss: 0.6911, Validation loss: 0.6868, Validation acc: 0.5967
Train loss: 0.6723, Validation loss: 0.6354, Validation acc: 0.7893
Train loss: 0.5195, Validation loss: 0.3769, Validation acc: 0.8403
Train loss: 0.3312, Validation loss: 0.2731, Validation acc: 0.8995
Train loss: 0.2690, Validation loss: 0.2405, Validation acc: 0.9126
Train loss: 0.2471, Validation loss: 0.2268, Validation acc: 0.9182
Train loss: 0.2337, Validation loss: 0.2155, Validation acc: 0.9211
Train loss: 0.2229, Validation loss: 0.2076, Validation acc: 0.9256
Train loss: 0.2155, Validation loss: 0.2279, Validation acc: 0.9188
Train loss: 0.2097, Validation loss: 0.2013, Validation acc: 0.9270
Train loss: 0.2039, Validation loss: 0.2015, Validation acc: 0.9275
Train loss: 0.1996, Validation loss: 0.1937, Validation acc: 0.9292
Train loss: 0.1949, Validation loss: 0.1874, Validation acc: 0.9319
Train loss: 0.1909, Validation loss: 0.1996, Validation acc: 0.9278
Train loss: 0.1899, Validation loss: 0.1827, Validation acc: 0.9344
Train loss: 0.1859, Validation loss: 0.1883, Validation acc: 0.9317
Train loss: 0.1843, Validation loss: 0.2039, Validation acc: 0.9256
Train loss: 0.1818, Validation loss: 0.1905, Validation acc: 0.9301
Train loss: 0.1796, Validation loss: 0.1769, Validation acc: 0.9365
Train loss: 0.1780, Validation loss: 0.1852, Validation acc: 0.9361
Train loss: 0.1752, Validation loss: 0.1754, Validation acc: 0.9381
Train loss: 0.1746, Validation loss: 0.1852, Validation acc: 0.9341
Train loss: 0.1706, Validation loss: 0.1726, Validation acc: 0.9389
Train loss: 0.1698, Validation loss: 0.1785, Validation acc: 0.9358
Train loss: 0.1691, Validation loss: 0.1736, Validation acc: 0.9372
Train loss: 0.1670, Validation loss: 0.1719, Validation acc: 0.9399
Train loss: 0.1666, Validation loss: 0.1685, Validation acc: 0.9408
Train loss: 0.1641, Validation loss: 0.1861, Validation acc: 0.9317
Train loss: 0.1636, Validation loss: 0.1762, Validation acc: 0.9363
Train loss: 0.1625, Validation loss: 0.1913, Validation acc: 0.9302
Train loss: 0.1605, Validation loss: 0.1665, Validation acc: 0.9412
Train loss: 0.1592, Validation loss: 0.1675, Validation acc: 0.9389
Train loss: 0.1576, Validation loss: 0.1650, Validation acc: 0.9408
Train loss: 0.1566, Validation loss: 0.1656, Validation acc: 0.9416
Train loss: 0.1547, Validation loss: 0.1633, Validation acc: 0.9420
Train loss: 0.1537, Validation loss: 0.1614, Validation acc: 0.9415
Train loss: 0.1529, Validation loss: 0.1619, Validation acc: 0.9416
Train loss: 0.1521, Validation loss: 0.1611, Validation acc: 0.9427
Train loss: 0.1510, Validation loss: 0.1652, Validation acc: 0.9401
Train loss: 0.1497, Validation loss: 0.1665, Validation acc: 0.9419
Train loss: 0.1486, Validation loss: 0.1594, Validation acc: 0.9433
Train loss: 0.1476, Validation loss: 0.1778, Validation acc: 0.9355
Train loss: 0.1472, Validation loss: 0.1577, Validation acc: 0.9440
Train loss: 0.1454, Validation loss: 0.1676, Validation acc: 0.9403
Train loss: 0.1447, Validation loss: 0.1604, Validation acc: 0.9429
Train loss: 0.1433, Validation loss: 0.1647, Validation acc: 0.9429
Train loss: 0.1423, Validation loss: 0.1621, Validation acc: 0.9415
