Fold 1
Train loss: 0.6898, Validation loss: 0.6842, Validation acc: 0.7142
Train loss: 0.6664, Validation loss: 0.6234, Validation acc: 0.7933
Train loss: 0.5150, Validation loss: 0.3893, Validation acc: 0.8479
Train loss: 0.3396, Validation loss: 0.2886, Validation acc: 0.8898
Train loss: 0.2752, Validation loss: 0.2525, Validation acc: 0.9070
Train loss: 0.2509, Validation loss: 0.2368, Validation acc: 0.9158
Train loss: 0.2361, Validation loss: 0.2321, Validation acc: 0.9115
Train loss: 0.2246, Validation loss: 0.2213, Validation acc: 0.9232
Train loss: 0.2174, Validation loss: 0.2102, Validation acc: 0.9239
Train loss: 0.2106, Validation loss: 0.2106, Validation acc: 0.9209
Train loss: 0.2037, Validation loss: 0.2084, Validation acc: 0.9233
Train loss: 0.1992, Validation loss: 0.1991, Validation acc: 0.9267
Train loss: 0.1960, Validation loss: 0.1939, Validation acc: 0.9282
Train loss: 0.1910, Validation loss: 0.1914, Validation acc: 0.9296
Train loss: 0.1890, Validation loss: 0.1919, Validation acc: 0.9282
Train loss: 0.1853, Validation loss: 0.1888, Validation acc: 0.9310
Train loss: 0.1816, Validation loss: 0.1842, Validation acc: 0.9341
Train loss: 0.1787, Validation loss: 0.1836, Validation acc: 0.9325
Train loss: 0.1772, Validation loss: 0.1844, Validation acc: 0.9353
Train loss: 0.1747, Validation loss: 0.1813, Validation acc: 0.9357
Train loss: 0.1725, Validation loss: 0.2146, Validation acc: 0.9189
Train loss: 0.1704, Validation loss: 0.1757, Validation acc: 0.9381
Train loss: 0.1681, Validation loss: 0.1759, Validation acc: 0.9371
Train loss: 0.1652, Validation loss: 0.1733, Validation acc: 0.9385
Train loss: 0.1638, Validation loss: 0.1883, Validation acc: 0.9326
Train loss: 0.1614, Validation loss: 0.1703, Validation acc: 0.9410
Train loss: 0.1588, Validation loss: 0.1734, Validation acc: 0.9363
Train loss: 0.1570, Validation loss: 0.1690, Validation acc: 0.9399
Train loss: 0.1559, Validation loss: 0.1670, Validation acc: 0.9412
Train loss: 0.1545, Validation loss: 0.1690, Validation acc: 0.9391
Train loss: 0.1528, Validation loss: 0.1701, Validation acc: 0.9406
Train loss: 0.1507, Validation loss: 0.1650, Validation acc: 0.9422
Train loss: 0.1499, Validation loss: 0.1635, Validation acc: 0.9427
Train loss: 0.1466, Validation loss: 0.1754, Validation acc: 0.9370
Train loss: 0.1459, Validation loss: 0.1669, Validation acc: 0.9415
Train loss: 0.1449, Validation loss: 0.1611, Validation acc: 0.9450
Train loss: 0.1430, Validation loss: 0.1611, Validation acc: 0.9453
Train loss: 0.1404, Validation loss: 0.1591, Validation acc: 0.9447
Train loss: 0.1394, Validation loss: 0.1602, Validation acc: 0.9448
Train loss: 0.1372, Validation loss: 0.1609, Validation acc: 0.9444
Train loss: 0.1357, Validation loss: 0.1803, Validation acc: 0.9358
Train loss: 0.1357, Validation loss: 0.1819, Validation acc: 0.9322
Train loss: 0.1339, Validation loss: 0.1595, Validation acc: 0.9436
Train loss: 0.1314, Validation loss: 0.1778, Validation acc: 0.9381
Train loss: 0.1297, Validation loss: 0.1548, Validation acc: 0.9471
Train loss: 0.1304, Validation loss: 0.1563, Validation acc: 0.9447
Train loss: 0.1275, Validation loss: 0.1525, Validation acc: 0.9491
Train loss: 0.1258, Validation loss: 0.1563, Validation acc: 0.9450
Train loss: 0.1263, Validation loss: 0.1547, Validation acc: 0.9476
Train loss: 0.1229, Validation loss: 0.1540, Validation acc: 0.9467
Train loss: 0.1221, Validation loss: 0.1567, Validation acc: 0.9488
Train loss: 0.1204, Validation loss: 0.1497, Validation acc: 0.9503
Train loss: 0.1206, Validation loss: 0.1512, Validation acc: 0.9493
Train loss: 0.1199, Validation loss: 0.2069, Validation acc: 0.9211
Train loss: 0.1167, Validation loss: 0.1483, Validation acc: 0.9509
Train loss: 0.1155, Validation loss: 0.1496, Validation acc: 0.9492
Train loss: 0.1143, Validation loss: 0.1478, Validation acc: 0.9502
Train loss: 0.1138, Validation loss: 0.1477, Validation acc: 0.9510
Train loss: 0.1123, Validation loss: 0.1465, Validation acc: 0.9519
Train loss: 0.1107, Validation loss: 0.1523, Validation acc: 0.9485
Train loss: 0.1094, Validation loss: 0.1482, Validation acc: 0.9507
Train loss: 0.1081, Validation loss: 0.1496, Validation acc: 0.9522
Train loss: 0.1082, Validation loss: 0.2216, Validation acc: 0.9163
Train loss: 0.1074, Validation loss: 0.1447, Validation acc: 0.9526
Train loss: 0.1068, Validation loss: 0.1700, Validation acc: 0.9391
Train loss: 0.1054, Validation loss: 0.1695, Validation acc: 0.9396
Train loss: 0.1029, Validation loss: 0.1470, Validation acc: 0.9507
Train loss: 0.1023, Validation loss: 0.1441, Validation acc: 0.9517
Train loss: 0.1008, Validation loss: 0.1443, Validation acc: 0.9527
Train loss: 0.1008, Validation loss: 0.1462, Validation acc: 0.9514
Train loss: 0.0983, Validation loss: 0.1419, Validation acc: 0.9537
Train loss: 0.0980, Validation loss: 0.1448, Validation acc: 0.9516
Train loss: 0.0971, Validation loss: 0.1595, Validation acc: 0.9447
Train loss: 0.0959, Validation loss: 0.1488, Validation acc: 0.9502
Train loss: 0.0945, Validation loss: 0.1585, Validation acc: 0.9474
Train loss: 0.0937, Validation loss: 0.1493, Validation acc: 0.9510
Train loss: 0.0926, Validation loss: 0.1423, Validation acc: 0.9548
Train loss: 0.0914, Validation loss: 0.1458, Validation acc: 0.9524
Train loss: 0.0913, Validation loss: 0.1395, Validation acc: 0.9552
Train loss: 0.0907, Validation loss: 0.1383, Validation acc: 0.9554
Train loss: 0.0895, Validation loss: 0.1399, Validation acc: 0.9548
Train loss: 0.0873, Validation loss: 0.1391, Validation acc: 0.9558
Train loss: 0.0853, Validation loss: 0.1378, Validation acc: 0.9562
Train loss: 0.0865, Validation loss: 0.1510, Validation acc: 0.9545
Train loss: 0.0854, Validation loss: 0.1418, Validation acc: 0.9551
Train loss: 0.0832, Validation loss: 0.1375, Validation acc: 0.9575
Train loss: 0.0835, Validation loss: 0.1392, Validation acc: 0.9547
Train loss: 0.0823, Validation loss: 0.1372, Validation acc: 0.9568
Train loss: 0.0823, Validation loss: 0.1442, Validation acc: 0.9533
Train loss: 0.0805, Validation loss: 0.1395, Validation acc: 0.9578
Train loss: 0.0804, Validation loss: 0.1390, Validation acc: 0.9564
Train loss: 0.0791, Validation loss: 0.1410, Validation acc: 0.9558
Train loss: 0.0777, Validation loss: 0.1357, Validation acc: 0.9562
Train loss: 0.0789, Validation loss: 0.1360, Validation acc: 0.9571
Train loss: 0.0770, Validation loss: 0.1440, Validation acc: 0.9522
Train loss: 0.0756, Validation loss: 0.1368, Validation acc: 0.9561
Train loss: 0.0750, Validation loss: 0.1382, Validation acc: 0.9543
Train loss: 0.0751, Validation loss: 0.1612, Validation acc: 0.9465
Train loss: 0.0737, Validation loss: 0.1418, Validation acc: 0.9537
Train loss: 0.0727, Validation loss: 0.1436, Validation acc: 0.9538
Train loss: 0.0715, Validation loss: 0.1530, Validation acc: 0.9514
Train loss: 0.0724, Validation loss: 0.1350, Validation acc: 0.9568
Train loss: 0.0719, Validation loss: 0.1382, Validation acc: 0.9550
Train loss: 0.0702, Validation loss: 0.1391, Validation acc: 0.9555
Train loss: 0.0683, Validation loss: 0.1466, Validation acc: 0.9564
Train loss: 0.0690, Validation loss: 0.2262, Validation acc: 0.9116
Train loss: 0.0698, Validation loss: 0.1400, Validation acc: 0.9537
Train loss: 0.0669, Validation loss: 0.1361, Validation acc: 0.9572
Train loss: 0.0676, Validation loss: 0.1394, Validation acc: 0.9561
Train loss: 0.0663, Validation loss: 0.1447, Validation acc: 0.9530
Train loss: 0.0660, Validation loss: 0.1379, Validation acc: 0.9564
Train loss: 0.0654, Validation loss: 0.1362, Validation acc: 0.9564
Train loss: 0.0648, Validation loss: 0.1457, Validation acc: 0.9557
Train loss: 0.0637, Validation loss: 0.1339, Validation acc: 0.9588
Train loss: 0.0630, Validation loss: 0.1367, Validation acc: 0.9561
Train loss: 0.0617, Validation loss: 0.1478, Validation acc: 0.9513
Train loss: 0.0610, Validation loss: 0.1331, Validation acc: 0.9583
Train loss: 0.0617, Validation loss: 0.1349, Validation acc: 0.9585
Train loss: 0.0610, Validation loss: 0.1688, Validation acc: 0.9430
Train loss: 0.0599, Validation loss: 0.1355, Validation acc: 0.9582
Train loss: 0.0601, Validation loss: 0.1420, Validation acc: 0.9538
Train loss: 0.0583, Validation loss: 0.1477, Validation acc: 0.9540
Train loss: 0.0583, Validation loss: 0.1344, Validation acc: 0.9579
Train loss: 0.0568, Validation loss: 0.1361, Validation acc: 0.9572
Train loss: 0.0570, Validation loss: 0.2608, Validation acc: 0.9052
Train loss: 0.0580, Validation loss: 0.1364, Validation acc: 0.9578
Train loss: 0.0577, Validation loss: 0.1349, Validation acc: 0.9569
Train loss: 0.0561, Validation loss: 0.1402, Validation acc: 0.9585
Train loss: 0.0551, Validation loss: 0.1346, Validation acc: 0.9582
Train loss: 0.0550, Validation loss: 0.1537, Validation acc: 0.9492
Train loss: 0.0547, Validation loss: 0.1360, Validation acc: 0.9565
Train loss: 0.0533, Validation loss: 0.1348, Validation acc: 0.9579
Train loss: 0.0536, Validation loss: 0.1341, Validation acc: 0.9599
Train loss: 0.0524, Validation loss: 0.1517, Validation acc: 0.9514
Train loss: 0.0524, Validation loss: 0.1361, Validation acc: 0.9589
Train loss: 0.0512, Validation loss: 0.1328, Validation acc: 0.9590
Train loss: 0.0513, Validation loss: 0.1359, Validation acc: 0.9565
Train loss: 0.0519, Validation loss: 0.1371, Validation acc: 0.9582
Train loss: 0.0516, Validation loss: 0.1732, Validation acc: 0.9422
Train loss: 0.0511, Validation loss: 0.1337, Validation acc: 0.9578
Train loss: 0.0499, Validation loss: 0.1315, Validation acc: 0.9586
Train loss: 0.0504, Validation loss: 0.2078, Validation acc: 0.9223
Train loss: 0.0494, Validation loss: 0.1335, Validation acc: 0.9589
Train loss: 0.0487, Validation loss: 0.1336, Validation acc: 0.9593
Train loss: 0.0477, Validation loss: 0.1348, Validation acc: 0.9586
Train loss: 0.0480, Validation loss: 0.1341, Validation acc: 0.9599
Train loss: 0.0482, Validation loss: 0.1455, Validation acc: 0.9541
Train loss: 0.0467, Validation loss: 0.1412, Validation acc: 0.9560
Train loss: 0.0473, Validation loss: 0.3745, Validation acc: 0.8780
Train loss: 0.0486, Validation loss: 0.1316, Validation acc: 0.9602
Train loss: 0.0465, Validation loss: 0.1355, Validation acc: 0.9596
Train loss: 0.0448, Validation loss: 0.1323, Validation acc: 0.9595
Train loss: 0.0449, Validation loss: 0.1381, Validation acc: 0.9583
Train loss: 0.0460, Validation loss: 0.1356, Validation acc: 0.9589
Train loss: 0.0454, Validation loss: 0.1336, Validation acc: 0.9595
Train loss: 0.0444, Validation loss: 0.1334, Validation acc: 0.9590
Train loss: 0.0435, Validation loss: 0.1316, Validation acc: 0.9599
Train loss: 0.0441, Validation loss: 0.1372, Validation acc: 0.9574
Train loss: 0.0425, Validation loss: 0.1355, Validation acc: 0.9583
Train loss: 0.0428, Validation loss: 0.1339, Validation acc: 0.9586
Train loss: 0.0425, Validation loss: 0.1356, Validation acc: 0.9592
Train loss: 0.0426, Validation loss: 0.1339, Validation acc: 0.9590
Train loss: 0.0423, Validation loss: 0.1309, Validation acc: 0.9603
Train loss: 0.0405, Validation loss: 0.1333, Validation acc: 0.9592
Train loss: 0.0414, Validation loss: 0.1378, Validation acc: 0.9579
Train loss: 0.0415, Validation loss: 0.1410, Validation acc: 0.9574
Train loss: 0.0421, Validation loss: 0.1369, Validation acc: 0.9582
Train loss: 0.0405, Validation loss: 0.1358, Validation acc: 0.9598
Train loss: 0.0412, Validation loss: 0.1310, Validation acc: 0.9614
Train loss: 0.0413, Validation loss: 0.1355, Validation acc: 0.9586
Train loss: 0.0406, Validation loss: 0.1310, Validation acc: 0.9600
Train loss: 0.0405, Validation loss: 0.1295, Validation acc: 0.9605
Train loss: 0.0402, Validation loss: 0.1349, Validation acc: 0.9590
Train loss: 0.0397, Validation loss: 0.1342, Validation acc: 0.9590
Train loss: 0.0394, Validation loss: 0.1336, Validation acc: 0.9610
Train loss: 0.0395, Validation loss: 0.1328, Validation acc: 0.9600
Train loss: 0.0386, Validation loss: 0.1331, Validation acc: 0.9605
Train loss: 0.0388, Validation loss: 0.1321, Validation acc: 0.9598
Train loss: 0.0388, Validation loss: 0.1319, Validation acc: 0.9593
Train loss: 0.0379, Validation loss: 0.1372, Validation acc: 0.9572
Train loss: 0.0383, Validation loss: 0.4626, Validation acc: 0.8338
Train loss: 0.0388, Validation loss: 0.1367, Validation acc: 0.9596
Train loss: 0.0373, Validation loss: 0.1327, Validation acc: 0.9598
Train loss: 0.0369, Validation loss: 0.4734, Validation acc: 0.8127
Train loss: 0.0400, Validation loss: 0.1359, Validation acc: 0.9579
Train loss: 0.0370, Validation loss: 0.1302, Validation acc: 0.9610
Train loss: 0.0364, Validation loss: 0.1389, Validation acc: 0.9598
Train loss: 0.0378, Validation loss: 0.1347, Validation acc: 0.9595
Train loss: 0.0375, Validation loss: 0.1468, Validation acc: 0.9598
Train loss: 0.0364, Validation loss: 0.1391, Validation acc: 0.9590
Train loss: 0.0360, Validation loss: 0.1353, Validation acc: 0.9593
Train loss: 0.0369, Validation loss: 0.1334, Validation acc: 0.9590
Train loss: 0.0357, Validation loss: 0.1359, Validation acc: 0.9603
Train loss: 0.0358, Validation loss: 0.2573, Validation acc: 0.9040
Train loss: 0.0366, Validation loss: 0.1351, Validation acc: 0.9593
Train loss: 0.0351, Validation loss: 0.1379, Validation acc: 0.9598
Train loss: 0.0347, Validation loss: 0.1355, Validation acc: 0.9585
Train loss: 0.0342, Validation loss: 0.1333, Validation acc: 0.9606
Train loss: 0.0353, Validation loss: 0.1433, Validation acc: 0.9569
Train loss: 0.0345, Validation loss: 0.1381, Validation acc: 0.9596
Fold 2
Train loss: 0.6905, Validation loss: 0.6857, Validation acc: 0.7775
Train loss: 0.6704, Validation loss: 0.6363, Validation acc: 0.7880
Train loss: 0.5292, Validation loss: 0.4090, Validation acc: 0.8301
Train loss: 0.3463, Validation loss: 0.2979, Validation acc: 0.8788
