Fold 1
Train loss: 0.6901, Validation loss: 0.6849, Validation acc: 0.7727
Train loss: 0.6682, Validation loss: 0.6313, Validation acc: 0.7947
Train loss: 0.5258, Validation loss: 0.4073, Validation acc: 0.8377
Train loss: 0.3464, Validation loss: 0.2990, Validation acc: 0.8833
Train loss: 0.2776, Validation loss: 0.2642, Validation acc: 0.9004
Train loss: 0.2516, Validation loss: 0.2453, Validation acc: 0.9097
Train loss: 0.2366, Validation loss: 0.2359, Validation acc: 0.9153
Train loss: 0.2259, Validation loss: 0.2289, Validation acc: 0.9130
Train loss: 0.2176, Validation loss: 0.2202, Validation acc: 0.9191
Train loss: 0.2117, Validation loss: 0.2301, Validation acc: 0.9196
Train loss: 0.2055, Validation loss: 0.2116, Validation acc: 0.9249
Train loss: 0.2014, Validation loss: 0.2088, Validation acc: 0.9267
Train loss: 0.1982, Validation loss: 0.2050, Validation acc: 0.9263
Train loss: 0.1946, Validation loss: 0.2031, Validation acc: 0.9265
Train loss: 0.1919, Validation loss: 0.2000, Validation acc: 0.9278
Train loss: 0.1884, Validation loss: 0.1980, Validation acc: 0.9288
Train loss: 0.1855, Validation loss: 0.1965, Validation acc: 0.9323
Train loss: 0.1849, Validation loss: 0.1982, Validation acc: 0.9326
Train loss: 0.1827, Validation loss: 0.1927, Validation acc: 0.9310
Train loss: 0.1795, Validation loss: 0.1909, Validation acc: 0.9313
Train loss: 0.1773, Validation loss: 0.1982, Validation acc: 0.9320
Train loss: 0.1753, Validation loss: 0.1905, Validation acc: 0.9327
Train loss: 0.1736, Validation loss: 0.1879, Validation acc: 0.9344
Train loss: 0.1728, Validation loss: 0.1888, Validation acc: 0.9353
Train loss: 0.1720, Validation loss: 0.1866, Validation acc: 0.9361
Train loss: 0.1686, Validation loss: 0.1850, Validation acc: 0.9363
Train loss: 0.1687, Validation loss: 0.2088, Validation acc: 0.9209
Train loss: 0.1677, Validation loss: 0.1998, Validation acc: 0.9322
Train loss: 0.1665, Validation loss: 0.1865, Validation acc: 0.9377
Train loss: 0.1650, Validation loss: 0.1808, Validation acc: 0.9375
Train loss: 0.1642, Validation loss: 0.1825, Validation acc: 0.9368
Train loss: 0.1629, Validation loss: 0.1818, Validation acc: 0.9347
Train loss: 0.1616, Validation loss: 0.1806, Validation acc: 0.9365
Train loss: 0.1599, Validation loss: 0.1891, Validation acc: 0.9364
Train loss: 0.1596, Validation loss: 0.1798, Validation acc: 0.9384
Train loss: 0.1582, Validation loss: 0.1785, Validation acc: 0.9381
Train loss: 0.1577, Validation loss: 0.2004, Validation acc: 0.9240
Train loss: 0.1569, Validation loss: 0.1801, Validation acc: 0.9396
Train loss: 0.1552, Validation loss: 0.1759, Validation acc: 0.9381
Train loss: 0.1540, Validation loss: 0.1750, Validation acc: 0.9382
Train loss: 0.1538, Validation loss: 0.1779, Validation acc: 0.9386
Train loss: 0.1527, Validation loss: 0.1982, Validation acc: 0.9302
Train loss: 0.1519, Validation loss: 0.1787, Validation acc: 0.9398
Train loss: 0.1521, Validation loss: 0.1906, Validation acc: 0.9277
Train loss: 0.1492, Validation loss: 0.1736, Validation acc: 0.9402
Train loss: 0.1493, Validation loss: 0.1867, Validation acc: 0.9355
Train loss: 0.1490, Validation loss: 0.1868, Validation acc: 0.9358
Train loss: 0.1482, Validation loss: 0.1773, Validation acc: 0.9416
Train loss: 0.1466, Validation loss: 0.1703, Validation acc: 0.9412
Train loss: 0.1469, Validation loss: 0.1854, Validation acc: 0.9375
Train loss: 0.1456, Validation loss: 0.1694, Validation acc: 0.9409
Train loss: 0.1457, Validation loss: 0.1979, Validation acc: 0.9250
Train loss: 0.1450, Validation loss: 0.1701, Validation acc: 0.9412
Train loss: 0.1436, Validation loss: 0.1739, Validation acc: 0.9413
Train loss: 0.1423, Validation loss: 0.1696, Validation acc: 0.9420
Train loss: 0.1411, Validation loss: 0.1676, Validation acc: 0.9436
Train loss: 0.1411, Validation loss: 0.1700, Validation acc: 0.9392
Train loss: 0.1403, Validation loss: 0.1699, Validation acc: 0.9417
