Fold 1
Train loss: 0.2970, Validation loss: 1.9684, Validation acc: 0.5628
Train loss: 0.2239, Validation loss: 0.2067, Validation acc: 0.9278
Train loss: 0.2034, Validation loss: 0.2218, Validation acc: 0.9261
Train loss: 0.1900, Validation loss: 0.2003, Validation acc: 0.9329
Train loss: 0.1819, Validation loss: 0.1788, Validation acc: 0.9399
Train loss: 0.1730, Validation loss: 0.5109, Validation acc: 0.8158
Train loss: 0.1679, Validation loss: 0.1710, Validation acc: 0.9427
Train loss: 0.1622, Validation loss: 0.1651, Validation acc: 0.9447
Train loss: 0.1538, Validation loss: 0.1672, Validation acc: 0.9436
Train loss: 0.1511, Validation loss: 0.1760, Validation acc: 0.9447
Train loss: 0.1458, Validation loss: 0.4620, Validation acc: 0.8023
Train loss: 0.1429, Validation loss: 0.1865, Validation acc: 0.9382
Train loss: 0.1381, Validation loss: 0.1728, Validation acc: 0.9500
Train loss: 0.1345, Validation loss: 0.1625, Validation acc: 0.9458
Train loss: 0.1309, Validation loss: 0.1742, Validation acc: 0.9460
Train loss: 0.1268, Validation loss: 0.1669, Validation acc: 0.9486
Train loss: 0.1255, Validation loss: 0.1603, Validation acc: 0.9489
Train loss: 0.1220, Validation loss: 0.1590, Validation acc: 0.9476
Train loss: 0.1188, Validation loss: 0.1750, Validation acc: 0.9415
Train loss: 0.1159, Validation loss: 0.1660, Validation acc: 0.9507
Train loss: 0.1150, Validation loss: 0.1620, Validation acc: 0.9509
Train loss: 0.1135, Validation loss: 0.2512, Validation acc: 0.9087
Train loss: 0.1101, Validation loss: 0.1514, Validation acc: 0.9517
Train loss: 0.1066, Validation loss: 0.1592, Validation acc: 0.9485
Train loss: 0.1043, Validation loss: 0.3109, Validation acc: 0.9108
Train loss: 0.1069, Validation loss: 0.1513, Validation acc: 0.9522
Train loss: 0.1018, Validation loss: 0.1503, Validation acc: 0.9527
Train loss: 0.1005, Validation loss: 0.1496, Validation acc: 0.9517
Train loss: 0.0993, Validation loss: 0.1564, Validation acc: 0.9517
Train loss: 0.0965, Validation loss: 0.1622, Validation acc: 0.9491
Train loss: 0.0978, Validation loss: 2.7449, Validation acc: 0.5107
Train loss: 0.0996, Validation loss: 0.1524, Validation acc: 0.9544
Train loss: 0.0922, Validation loss: 0.1566, Validation acc: 0.9551
Train loss: 0.0916, Validation loss: 0.1581, Validation acc: 0.9526
Train loss: 0.0892, Validation loss: 0.1661, Validation acc: 0.9527
Train loss: 0.0918, Validation loss: 0.1648, Validation acc: 0.9522
Train loss: 0.0913, Validation loss: 0.1552, Validation acc: 0.9536
Train loss: 0.0850, Validation loss: 0.1516, Validation acc: 0.9498
Train loss: 0.0862, Validation loss: 0.1659, Validation acc: 0.9524
Train loss: 0.0846, Validation loss: 1.8055, Validation acc: 0.6089
Train loss: 0.0869, Validation loss: 0.1742, Validation acc: 0.9520
Train loss: 0.0839, Validation loss: 0.1661, Validation acc: 0.9551
Train loss: 0.0811, Validation loss: 0.1601, Validation acc: 0.9545
Train loss: 0.0796, Validation loss: 0.1728, Validation acc: 0.9503
Train loss: 0.0766, Validation loss: 0.1740, Validation acc: 0.9537
Train loss: 0.0765, Validation loss: 0.2539, Validation acc: 0.9171
Train loss: 0.0768, Validation loss: 0.1757, Validation acc: 0.9513
Train loss: 0.0775, Validation loss: 0.7634, Validation acc: 0.7982
Train loss: 0.0807, Validation loss: 0.1685, Validation acc: 0.9505
Train loss: 0.0763, Validation loss: 0.1619, Validation acc: 0.9550
Fold 2
Train loss: 0.2927, Validation loss: 0.2332, Validation acc: 0.9222
Train loss: 0.2233, Validation loss: 0.1923, Validation acc: 0.9299
Train loss: 0.2024, Validation loss: 0.2672, Validation acc: 0.9182
Train loss: 0.1899, Validation loss: 0.2812, Validation acc: 0.9080
Train loss: 0.1822, Validation loss: 0.1735, Validation acc: 0.9393
Train loss: 0.1706, Validation loss: 0.2095, Validation acc: 0.9270
Train loss: 0.1670, Validation loss: 0.2050, Validation acc: 0.9292
