Fold 1
Train loss: 0.6890, Validation loss: 0.6816, Validation acc: 0.7836
Train loss: 0.6448, Validation loss: 0.5525, Validation acc: 0.8061
Train loss: 0.4233, Validation loss: 0.3219, Validation acc: 0.8711
Train loss: 0.2911, Validation loss: 0.2625, Validation acc: 0.8977
Train loss: 0.2506, Validation loss: 0.2440, Validation acc: 0.9081
Train loss: 0.2315, Validation loss: 0.2455, Validation acc: 0.9064
Train loss: 0.2196, Validation loss: 0.2211, Validation acc: 0.9225
Train loss: 0.2110, Validation loss: 0.2156, Validation acc: 0.9243
Train loss: 0.2034, Validation loss: 0.2072, Validation acc: 0.9271
Train loss: 0.1984, Validation loss: 0.2046, Validation acc: 0.9298
Train loss: 0.1934, Validation loss: 0.2005, Validation acc: 0.9285
Train loss: 0.1893, Validation loss: 0.1990, Validation acc: 0.9301
Train loss: 0.1850, Validation loss: 0.2079, Validation acc: 0.9261
Train loss: 0.1816, Validation loss: 0.1927, Validation acc: 0.9337
Train loss: 0.1770, Validation loss: 0.1900, Validation acc: 0.9358
Train loss: 0.1735, Validation loss: 0.1892, Validation acc: 0.9360
Train loss: 0.1712, Validation loss: 0.1879, Validation acc: 0.9351
Train loss: 0.1675, Validation loss: 0.1851, Validation acc: 0.9354
Train loss: 0.1645, Validation loss: 0.1814, Validation acc: 0.9381
Train loss: 0.1614, Validation loss: 0.1782, Validation acc: 0.9402
Train loss: 0.1601, Validation loss: 0.1867, Validation acc: 0.9398
Train loss: 0.1558, Validation loss: 0.1766, Validation acc: 0.9396
Train loss: 0.1553, Validation loss: 0.1731, Validation acc: 0.9405
Train loss: 0.1529, Validation loss: 0.1735, Validation acc: 0.9409
Train loss: 0.1501, Validation loss: 0.1806, Validation acc: 0.9378
Train loss: 0.1474, Validation loss: 0.1700, Validation acc: 0.9447
Train loss: 0.1454, Validation loss: 0.1675, Validation acc: 0.9429
Train loss: 0.1432, Validation loss: 0.1672, Validation acc: 0.9436
Train loss: 0.1419, Validation loss: 0.1659, Validation acc: 0.9455
Train loss: 0.1383, Validation loss: 0.1663, Validation acc: 0.9443
Train loss: 0.1366, Validation loss: 0.1651, Validation acc: 0.9433
Train loss: 0.1354, Validation loss: 0.1630, Validation acc: 0.9453
Train loss: 0.1320, Validation loss: 0.1624, Validation acc: 0.9451
Train loss: 0.1309, Validation loss: 0.1608, Validation acc: 0.9460
Train loss: 0.1276, Validation loss: 0.1634, Validation acc: 0.9453
Train loss: 0.1271, Validation loss: 0.1601, Validation acc: 0.9448
Train loss: 0.1238, Validation loss: 0.1668, Validation acc: 0.9437
Train loss: 0.1226, Validation loss: 0.1776, Validation acc: 0.9398
Train loss: 0.1208, Validation loss: 0.1736, Validation acc: 0.9408
Train loss: 0.1182, Validation loss: 0.1582, Validation acc: 0.9488
Train loss: 0.1171, Validation loss: 0.1682, Validation acc: 0.9429
Train loss: 0.1152, Validation loss: 0.1515, Validation acc: 0.9495
