Fold 1
Train loss: 0.6909, Validation loss: 0.6882, Validation acc: 0.7833
Train loss: 0.6843, Validation loss: 0.6771, Validation acc: 0.7529
Train loss: 0.6612, Validation loss: 0.6321, Validation acc: 0.7916
Train loss: 0.5699, Validation loss: 0.4829, Validation acc: 0.8082
Train loss: 0.4166, Validation loss: 0.3563, Validation acc: 0.8562
Train loss: 0.3282, Validation loss: 0.2993, Validation acc: 0.8856
Train loss: 0.2859, Validation loss: 0.2704, Validation acc: 0.8992
Train loss: 0.2638, Validation loss: 0.2546, Validation acc: 0.9056
Train loss: 0.2517, Validation loss: 0.2419, Validation acc: 0.9106
Train loss: 0.2421, Validation loss: 0.2396, Validation acc: 0.9119
Train loss: 0.2329, Validation loss: 0.2310, Validation acc: 0.9173
Train loss: 0.2281, Validation loss: 0.2230, Validation acc: 0.9199
Train loss: 0.2234, Validation loss: 0.2197, Validation acc: 0.9220
Train loss: 0.2183, Validation loss: 0.2152, Validation acc: 0.9222
Train loss: 0.2148, Validation loss: 0.2167, Validation acc: 0.9199
Train loss: 0.2120, Validation loss: 0.2113, Validation acc: 0.9230
Train loss: 0.2091, Validation loss: 0.2080, Validation acc: 0.9260
Train loss: 0.2064, Validation loss: 0.2145, Validation acc: 0.9230
Train loss: 0.2038, Validation loss: 0.2065, Validation acc: 0.9265
Train loss: 0.2024, Validation loss: 0.2027, Validation acc: 0.9267
Train loss: 0.1992, Validation loss: 0.2017, Validation acc: 0.9258
Train loss: 0.1975, Validation loss: 0.2019, Validation acc: 0.9277
Train loss: 0.1969, Validation loss: 0.2024, Validation acc: 0.9296
Train loss: 0.1963, Validation loss: 0.1991, Validation acc: 0.9289
Train loss: 0.1944, Validation loss: 0.1969, Validation acc: 0.9296
Train loss: 0.1920, Validation loss: 0.1969, Validation acc: 0.9295
Train loss: 0.1909, Validation loss: 0.1957, Validation acc: 0.9303
Train loss: 0.1901, Validation loss: 0.1966, Validation acc: 0.9274
Train loss: 0.1894, Validation loss: 0.1985, Validation acc: 0.9310
Train loss: 0.1882, Validation loss: 0.1928, Validation acc: 0.9310
Train loss: 0.1877, Validation loss: 0.2057, Validation acc: 0.9233
Train loss: 0.1866, Validation loss: 0.1969, Validation acc: 0.9320
Train loss: 0.1858, Validation loss: 0.1910, Validation acc: 0.9322
Train loss: 0.1857, Validation loss: 0.1919, Validation acc: 0.9327
Train loss: 0.1851, Validation loss: 0.1980, Validation acc: 0.9322
Train loss: 0.1841, Validation loss: 0.1933, Validation acc: 0.9327
Train loss: 0.1822, Validation loss: 0.1914, Validation acc: 0.9313
Train loss: 0.1820, Validation loss: 0.1905, Validation acc: 0.9326
Train loss: 0.1814, Validation loss: 0.1908, Validation acc: 0.9310
Train loss: 0.1821, Validation loss: 0.1949, Validation acc: 0.9329
Train loss: 0.1799, Validation loss: 0.1928, Validation acc: 0.9337
Train loss: 0.1805, Validation loss: 0.1897, Validation acc: 0.9333
Train loss: 0.1789, Validation loss: 0.1914, Validation acc: 0.9341
Train loss: 0.1792, Validation loss: 0.1869, Validation acc: 0.9355
Train loss: 0.1784, Validation loss: 0.1877, Validation acc: 0.9350
Train loss: 0.1782, Validation loss: 0.1915, Validation acc: 0.9348
Train loss: 0.1784, Validation loss: 0.1880, Validation acc: 0.9355
Train loss: 0.1778, Validation loss: 0.1876, Validation acc: 0.9336
Train loss: 0.1771, Validation loss: 0.1938, Validation acc: 0.9320
Train loss: 0.1768, Validation loss: 0.1855, Validation acc: 0.9339
Train loss: 0.1756, Validation loss: 0.1866, Validation acc: 0.9358
Train loss: 0.1758, Validation loss: 0.1850, Validation acc: 0.9348
Train loss: 0.1744, Validation loss: 0.1862, Validation acc: 0.9329
Train loss: 0.1750, Validation loss: 0.1854, Validation acc: 0.9348
Train loss: 0.1743, Validation loss: 0.1859, Validation acc: 0.9334
Train loss: 0.1740, Validation loss: 0.1843, Validation acc: 0.9360
Train loss: 0.1740, Validation loss: 0.1943, Validation acc: 0.9357
Train loss: 0.1737, Validation loss: 0.1835, Validation acc: 0.9371
Train loss: 0.1729, Validation loss: 0.1916, Validation acc: 0.9354
Train loss: 0.1731, Validation loss: 0.1832, Validation acc: 0.9361
Train loss: 0.1731, Validation loss: 0.1875, Validation acc: 0.9319
Train loss: 0.1725, Validation loss: 0.1837, Validation acc: 0.9346
Train loss: 0.1722, Validation loss: 0.1832, Validation acc: 0.9363
Train loss: 0.1720, Validation loss: 0.1915, Validation acc: 0.9348
Train loss: 0.1715, Validation loss: 0.1867, Validation acc: 0.9334
Train loss: 0.1712, Validation loss: 0.1823, Validation acc: 0.9365
Train loss: 0.1703, Validation loss: 0.1828, Validation acc: 0.9364
Train loss: 0.1716, Validation loss: 0.1903, Validation acc: 0.9358
Train loss: 0.1699, Validation loss: 0.1829, Validation acc: 0.9364
Train loss: 0.1708, Validation loss: 0.1826, Validation acc: 0.9343
Train loss: 0.1699, Validation loss: 0.1841, Validation acc: 0.9340
Train loss: 0.1702, Validation loss: 0.1864, Validation acc: 0.9357
Train loss: 0.1704, Validation loss: 0.1829, Validation acc: 0.9350
Train loss: 0.1701, Validation loss: 0.1816, Validation acc: 0.9368
Train loss: 0.1693, Validation loss: 0.1813, Validation acc: 0.9370
Train loss: 0.1693, Validation loss: 0.1984, Validation acc: 0.9250
Train loss: 0.1688, Validation loss: 0.1821, Validation acc: 0.9354
Train loss: 0.1694, Validation loss: 0.1850, Validation acc: 0.9334
Train loss: 0.1692, Validation loss: 0.1852, Validation acc: 0.9370
Train loss: 0.1692, Validation loss: 0.1965, Validation acc: 0.9267
Train loss: 0.1679, Validation loss: 0.1813, Validation acc: 0.9371
Train loss: 0.1689, Validation loss: 0.1802, Validation acc: 0.9372
Train loss: 0.1690, Validation loss: 0.1806, Validation acc: 0.9365
Train loss: 0.1680, Validation loss: 0.1802, Validation acc: 0.9361
Train loss: 0.1693, Validation loss: 0.1906, Validation acc: 0.9372
Train loss: 0.1681, Validation loss: 0.1839, Validation acc: 0.9370
Train loss: 0.1675, Validation loss: 0.1810, Validation acc: 0.9355
Train loss: 0.1673, Validation loss: 0.1886, Validation acc: 0.9341
Train loss: 0.1670, Validation loss: 0.1831, Validation acc: 0.9379
Train loss: 0.1675, Validation loss: 0.1801, Validation acc: 0.9355
Train loss: 0.1674, Validation loss: 0.1801, Validation acc: 0.9365
Train loss: 0.1673, Validation loss: 0.1844, Validation acc: 0.9327
Train loss: 0.1665, Validation loss: 0.1804, Validation acc: 0.9351
Train loss: 0.1665, Validation loss: 0.1866, Validation acc: 0.9332
Train loss: 0.1670, Validation loss: 0.1798, Validation acc: 0.9378
Train loss: 0.1663, Validation loss: 0.1794, Validation acc: 0.9371
Train loss: 0.1660, Validation loss: 0.1792, Validation acc: 0.9384
Train loss: 0.1664, Validation loss: 0.1808, Validation acc: 0.9353
Train loss: 0.1661, Validation loss: 0.1812, Validation acc: 0.9381
Train loss: 0.1658, Validation loss: 0.1791, Validation acc: 0.9375
Fold 2
Train loss: 0.6914, Validation loss: 0.6892, Validation acc: 0.7688
Train loss: 0.6858, Validation loss: 0.6802, Validation acc: 0.7820
Train loss: 0.6675, Validation loss: 0.6450, Validation acc: 0.8049
Train loss: 0.5913, Validation loss: 0.5099, Validation acc: 0.8079
Train loss: 0.4375, Validation loss: 0.3661, Validation acc: 0.8557
Train loss: 0.3385, Validation loss: 0.3004, Validation acc: 0.8826
Train loss: 0.2906, Validation loss: 0.2696, Validation acc: 0.8970
Train loss: 0.2664, Validation loss: 0.2532, Validation acc: 0.9046
Train loss: 0.2526, Validation loss: 0.2477, Validation acc: 0.9094
Train loss: 0.2425, Validation loss: 0.2363, Validation acc: 0.9113
Train loss: 0.2341, Validation loss: 0.2312, Validation acc: 0.9133
Train loss: 0.2279, Validation loss: 0.2225, Validation acc: 0.9171
Train loss: 0.2229, Validation loss: 0.2199, Validation acc: 0.9191
Train loss: 0.2190, Validation loss: 0.2185, Validation acc: 0.9175
Train loss: 0.2147, Validation loss: 0.2117, Validation acc: 0.9203
Train loss: 0.2134, Validation loss: 0.2103, Validation acc: 0.9219
Train loss: 0.2106, Validation loss: 0.2160, Validation acc: 0.9195
Train loss: 0.2063, Validation loss: 0.2059, Validation acc: 0.9237
Train loss: 0.2056, Validation loss: 0.2049, Validation acc: 0.9255
Train loss: 0.2023, Validation loss: 0.2017, Validation acc: 0.9270
Train loss: 0.2002, Validation loss: 0.2007, Validation acc: 0.9275
Train loss: 0.1991, Validation loss: 0.2010, Validation acc: 0.9274
Train loss: 0.1973, Validation loss: 0.1981, Validation acc: 0.9289
Train loss: 0.1961, Validation loss: 0.1982, Validation acc: 0.9286
Train loss: 0.1944, Validation loss: 0.1987, Validation acc: 0.9250
Train loss: 0.1939, Validation loss: 0.1940, Validation acc: 0.9296
Train loss: 0.1927, Validation loss: 0.1961, Validation acc: 0.9298
Train loss: 0.1910, Validation loss: 0.1931, Validation acc: 0.9306
Train loss: 0.1905, Validation loss: 0.1916, Validation acc: 0.9296
Train loss: 0.1891, Validation loss: 0.1908, Validation acc: 0.9312
Train loss: 0.1884, Validation loss: 0.1933, Validation acc: 0.9320
Train loss: 0.1875, Validation loss: 0.1897, Validation acc: 0.9305
Train loss: 0.1873, Validation loss: 0.1891, Validation acc: 0.9316
Train loss: 0.1865, Validation loss: 0.1895, Validation acc: 0.9320
Train loss: 0.1857, Validation loss: 0.1876, Validation acc: 0.9324
Train loss: 0.1843, Validation loss: 0.1885, Validation acc: 0.9312
Train loss: 0.1845, Validation loss: 0.1869, Validation acc: 0.9326
Train loss: 0.1835, Validation loss: 0.1880, Validation acc: 0.9331
Train loss: 0.1832, Validation loss: 0.1878, Validation acc: 0.9302
Train loss: 0.1823, Validation loss: 0.1872, Validation acc: 0.9300
Train loss: 0.1819, Validation loss: 0.1849, Validation acc: 0.9341
Train loss: 0.1810, Validation loss: 0.1847, Validation acc: 0.9344
Train loss: 0.1804, Validation loss: 0.1853, Validation acc: 0.9344
Train loss: 0.1803, Validation loss: 0.1842, Validation acc: 0.9344
Train loss: 0.1806, Validation loss: 0.1839, Validation acc: 0.9351
Train loss: 0.1796, Validation loss: 0.1846, Validation acc: 0.9330
Train loss: 0.1788, Validation loss: 0.1972, Validation acc: 0.9344
Train loss: 0.1789, Validation loss: 0.1844, Validation acc: 0.9338
Train loss: 0.1778, Validation loss: 0.1886, Validation acc: 0.9323
Train loss: 0.1781, Validation loss: 0.1826, Validation acc: 0.9344
Train loss: 0.1775, Validation loss: 0.1824, Validation acc: 0.9336
Train loss: 0.1778, Validation loss: 0.1824, Validation acc: 0.9353
Train loss: 0.1770, Validation loss: 0.1839, Validation acc: 0.9331
Train loss: 0.1767, Validation loss: 0.1862, Validation acc: 0.9333
Train loss: 0.1759, Validation loss: 0.1819, Validation acc: 0.9348
Train loss: 0.1760, Validation loss: 0.1828, Validation acc: 0.9360
Train loss: 0.1765, Validation loss: 0.1865, Validation acc: 0.9326
Train loss: 0.1751, Validation loss: 0.1827, Validation acc: 0.9360
Train loss: 0.1751, Validation loss: 0.1817, Validation acc: 0.9336
Train loss: 0.1741, Validation loss: 0.1821, Validation acc: 0.9364
Train loss: 0.1752, Validation loss: 0.1808, Validation acc: 0.9362
Train loss: 0.1749, Validation loss: 0.1881, Validation acc: 0.9302
Train loss: 0.1738, Validation loss: 0.1801, Validation acc: 0.9336
Train loss: 0.1736, Validation loss: 0.1815, Validation acc: 0.9367
Train loss: 0.1730, Validation loss: 0.1804, Validation acc: 0.9365
Train loss: 0.1732, Validation loss: 0.1803, Validation acc: 0.9367
Train loss: 0.1733, Validation loss: 0.1804, Validation acc: 0.9338
Train loss: 0.1727, Validation loss: 0.1792, Validation acc: 0.9364
Train loss: 0.1732, Validation loss: 0.1806, Validation acc: 0.9354
Train loss: 0.1729, Validation loss: 0.1868, Validation acc: 0.9303
Train loss: 0.1722, Validation loss: 0.1791, Validation acc: 0.9358
Train loss: 0.1724, Validation loss: 0.1783, Validation acc: 0.9372
Train loss: 0.1709, Validation loss: 0.1781, Validation acc: 0.9372
Train loss: 0.1712, Validation loss: 0.1777, Validation acc: 0.9367
Train loss: 0.1723, Validation loss: 0.1826, Validation acc: 0.9331
