Fold 1
Train loss: 0.6883, Validation loss: 0.6782, Validation acc: 0.7986
Train loss: 0.6138, Validation loss: 0.4709, Validation acc: 0.8126
Train loss: 0.3686, Validation loss: 0.2859, Validation acc: 0.8852
Train loss: 0.2754, Validation loss: 0.2381, Validation acc: 0.9130
Train loss: 0.2462, Validation loss: 0.2400, Validation acc: 0.9125
Train loss: 0.2301, Validation loss: 0.2253, Validation acc: 0.9147
Train loss: 0.2194, Validation loss: 0.2045, Validation acc: 0.9260
Train loss: 0.2110, Validation loss: 0.1978, Validation acc: 0.9274
Train loss: 0.2029, Validation loss: 0.1916, Validation acc: 0.9306
Train loss: 0.1986, Validation loss: 0.1925, Validation acc: 0.9322
Train loss: 0.1925, Validation loss: 0.1869, Validation acc: 0.9336
Train loss: 0.1884, Validation loss: 0.1824, Validation acc: 0.9355
Train loss: 0.1845, Validation loss: 0.1792, Validation acc: 0.9353
Train loss: 0.1801, Validation loss: 0.1780, Validation acc: 0.9344
Train loss: 0.1782, Validation loss: 0.1770, Validation acc: 0.9353
Train loss: 0.1753, Validation loss: 0.1738, Validation acc: 0.9374
Train loss: 0.1718, Validation loss: 0.1836, Validation acc: 0.9343
Train loss: 0.1690, Validation loss: 0.1722, Validation acc: 0.9384
Train loss: 0.1668, Validation loss: 0.1732, Validation acc: 0.9371
Train loss: 0.1651, Validation loss: 0.1785, Validation acc: 0.9401
Train loss: 0.1629, Validation loss: 0.1764, Validation acc: 0.9395
Train loss: 0.1604, Validation loss: 0.1691, Validation acc: 0.9388
Train loss: 0.1579, Validation loss: 0.1776, Validation acc: 0.9340
Train loss: 0.1564, Validation loss: 0.1647, Validation acc: 0.9413
Train loss: 0.1551, Validation loss: 0.1681, Validation acc: 0.9402
Train loss: 0.1513, Validation loss: 0.1785, Validation acc: 0.9353
Train loss: 0.1513, Validation loss: 0.1576, Validation acc: 0.9436
Train loss: 0.1496, Validation loss: 0.1676, Validation acc: 0.9392
Train loss: 0.1463, Validation loss: 0.1555, Validation acc: 0.9447
Train loss: 0.1448, Validation loss: 0.1571, Validation acc: 0.9446
Train loss: 0.1423, Validation loss: 0.1538, Validation acc: 0.9450
Train loss: 0.1399, Validation loss: 0.1539, Validation acc: 0.9465
Train loss: 0.1380, Validation loss: 0.1566, Validation acc: 0.9450
Train loss: 0.1372, Validation loss: 0.1520, Validation acc: 0.9458
Train loss: 0.1352, Validation loss: 0.1494, Validation acc: 0.9486
Train loss: 0.1337, Validation loss: 0.1669, Validation acc: 0.9427
Train loss: 0.1322, Validation loss: 0.1489, Validation acc: 0.9478
Train loss: 0.1308, Validation loss: 0.1502, Validation acc: 0.9484
Train loss: 0.1284, Validation loss: 0.1503, Validation acc: 0.9485
Train loss: 0.1272, Validation loss: 0.1462, Validation acc: 0.9484
Train loss: 0.1260, Validation loss: 0.1465, Validation acc: 0.9488
Train loss: 0.1235, Validation loss: 0.1453, Validation acc: 0.9478
